road,id,model_type,name,lat,lon,length
N1,1000758,bridge,bridge 379,21.4974719,92.0765549,88
N1,1000759,link,link 380,21.4968608,92.0769438,48
N1,1000760,bridge,bridge 380,21.4964441,92.077166,904
N1,1000761,link,link 381,21.4901941,92.0818049,1259
N1,1000762,bridge,bridge 381,21.4851386,92.091333,700
N1,1000763,link,link 382,21.4793604,92.0938886,357
N1,1000764,bridge,bridge 382,21.4767771,92.0957497,250
N1,1000765,link,link 383,21.475915999999998,92.096458,10
N1,1000766,bridge,bridge 383,21.4750549,92.0971663,522
N1,1000767,link,link 384,21.4713604,92.0997497,20
N1,1000768,bridge,bridge 384,21.4712216,92.0998886,593
N1,1000769,link,link 385,21.4689716,92.1011943,10
N1,1000770,bridge,bridge 385,21.4667216,92.1025,367
N1,1000771,link,link 386,21.4635833,92.1029167,1348
N1,1000772,bridge,bridge 386,21.4545,92.10075,421
N1,1000773,link,link 387,21.452888899999998,92.10009705,10
N1,1000774,bridge,bridge 387,21.4512778,92.0994441,222
N1,1000775,link,link 388,21.4496108,92.0994997,654
N1,1000776,bridge,bridge 388,21.443833,92.1014167,223
N1,1000777,link,link 389,21.44299965,92.1011389,10
N1,1000778,bridge,bridge 389,21.4421663,92.1008611,118
N1,1000779,link,link 390,21.4413608,92.1003611,466
N1,1000780,bridge,bridge 390,21.4375552,92.0984997,343
N1,1000781,link,link 391,21.436069099999997,92.09794415,10
N1,1000782,bridge,bridge 391,21.434583,92.0973886,149
N1,1000783,link,link 392,21.4334441,92.0969997,284
N1,1000784,bridge,bridge 392,21.4310271,92.0961941,229
N1,1000785,link,link 393,21.4300271,92.0958469,10
N1,1000786,bridge,bridge 393,21.4290271,92.0954997,79
N1,1000787,link,link 394,21.4284993,92.0951941,112
N1,1000788,bridge,bridge 394,21.4283604,92.0941663,283
N1,1000789,link,link 395,21.4281104,92.0914719,190
N1,1000790,bridge,bridge 395,21.427916,92.0896108,586
N1,1000791,link,link 396,21.4275132,92.08684690000001,10
N1,1000792,bridge,bridge 396,21.4271104,92.084083,206
N1,1000793,link,link 397,21.4269716,92.0821104,175
N1,1000794,bridge,bridge 397,21.4267771,92.0804716,384
N1,1000795,link,link 398,21.426624349999997,92.07862435,10
N1,1000796,bridge,bridge 398,21.4264716,92.0767771,403
N1,1000797,link,link 399,21.4267216,92.0730827,261
N1,1000798,bridge,bridge 399,21.427416,92.0707216,738
N1,1000799,link,link 400,21.4276938,92.0643611,131
N1,1000800,bridge,bridge 400,21.4270827,92.0632778,262
N1,1000801,link,link 401,21.4272077,92.06205555,10
N1,1000802,bridge,bridge 401,21.4273327,92.0608333,336
N1,1000803,link,link 402,21.427610450000003,92.05924999999999,10
N1,1000804,bridge,bridge 402,21.4278882,92.0576667,237
N1,1000805,link,link 403,21.427971550000002,92.0565417,10
N1,1000806,bridge,bridge 403,21.4280549,92.0554167,28
N1,1000807,link,link 404,21.4280827,92.0551389,232
N1,1000808,bridge,bridge 404,21.4280549,92.0529444,462
N1,1000809,link,link 405,21.4277771,92.05069424999999,10
N1,1000810,bridge,bridge 405,21.4274993,92.0484441,290
N1,1000811,link,link 406,21.4287771,92.0461941,233
N1,1000812,bridge,bridge 406,21.4295549,92.044083,500
N1,1000813,link,link 407,21.4296799,92.0416802,10
N1,1000814,bridge,bridge 407,21.4298049,92.0392774,254
N1,1000815,link,link 408,21.4296938,92.0368608,223
N1,1000816,bridge,bridge 408,21.4289716,92.0348608,362
N1,1000817,link,link 409,21.4292077,92.03323560000001,10
N1,1000818,bridge,bridge 409,21.4294438,92.0316104,274
N1,1000819,link,link 410,21.4299299,92.03045765,10
N1,1000820,bridge,bridge 410,21.430416,92.0293049,105
N1,1000821,link,link 411,21.430166,92.0283604,45
N1,1000822,bridge,bridge 411,21.4298882,92.0279716,612
N1,1000823,link,link 412,21.42806875,92.02577715000001,10
N1,1000824,bridge,bridge 412,21.4262493,92.0235827,64
