road,lat,lon,model_type,road_to,condition,length,id,name
N1,22.7654722,91.5785549,link,,,981,1000307,link 154
N1,22.7621944,91.5811382,bridge,,A,546,1000308,bridge 150
N1,22.7585278,91.5845274,link,,,1366,1000309,link 155
N1,22.7526389,91.5893608,bridge,,A,180,1000310,bridge 151
N1,22.7513333,91.5903608,link,,,412,1000311,link 156
N1,22.7496386,91.5916386,bridge,,A,768,1000312,bridge 152
N1,22.7435552,91.5949163,link,,,800,1000313,link 157
N1,22.7433052,91.5950274,bridge,,B,967,1000314,bridge 153
N1,22.7349997,91.5979441,link,,,979,1000315,link 158
N1,22.7349163,91.5979719,bridge,,A,987,1000316,bridge 154
N1,22.7263882,91.6007778,link,,,1527,1000317,link 159
N1,22.7221104,91.6030833,bridge,,A,460,1000318,bridge 155
N1,22.7185549,91.6053056,link,,,721,1000319,link 160
N1,22.7165556,91.6065556,bridge,,B,74,1000320,bridge 156
N1,22.7162778,91.60673615,link,,,74,1000321,link 161
N1,22.716,91.6069167,bridge,,B,215,1000322,bridge 157
N1,22.7143889,91.6079444,link,,,471,1000323,link 162
N1,22.7124167,91.6090556,bridge,,A,606,1000324,bridge 158
N1,22.7100139,91.6104306,link,,,606,1000325,link 163
N1,22.7076111,91.6118056,bridge,,A,137,1000326,bridge 159
N1,22.7065556,91.6123611,link,,,204,1000327,link 164
N1,22.706,91.6126944,bridge,,A,342,1000328,bridge 160
N1,22.7046528,91.6134583,link,,,342,1000329,link 165
N1,22.7033056,91.6142222,bridge,,A,381,1000330,bridge 161
N1,22.7017639,91.615,link,,,381,1000331,link 166
N1,22.7002222,91.6157778,bridge,,A,219,1000332,bridge 162
N1,22.6984997,91.616666,link,,,1003,1000333,link 167
N1,22.6919719,91.6198604,bridge,,A,216,1000334,bridge 163
N1,22.6904163,91.6205271,link,,,314,1000335,link 168
N1,22.689583,91.6208327,bridge,,A,543,1000336,bridge 164
N1,22.687333,91.6218327,link,,,543,1000337,link 169
N1,22.685083,91.6228327,bridge,,A,317,1000338,bridge 165
N1,22.6825549,91.6241938,link,,,986,1000339,link 170
N1,22.6769438,91.6268327,bridge,,A,230,1000340,bridge 166
N1,22.676041,91.62713825,link,,,230,1000341,link 171
N1,22.6751382,91.6274438,bridge,,A,99,1000342,bridge 167
N1,22.6743049,91.6277493,link,,,350,1000343,link 172
N1,22.6722493,91.6285271,bridge,,A,506,1000344,bridge 168
N1,22.67005485,91.62931875,link,,,506,1000345,link 173
N1,22.6678604,91.6301104,bridge,,A,370,1000346,bridge 169
N1,22.6649167,91.6315549,link,,,507,1000347,link 174
N1,22.6638333,91.6321382,bridge,,A,540,1000348,bridge 170
N1,22.66175,91.63343005,link,,,540,1000349,link 175
N1,22.6596667,91.6347219,bridge,,A,322,1000350,bridge 171
N1,22.6571389,91.636333,link,,,679,1000351,link 176
N1,22.6543889,91.6381386,bridge,,A,208,1000352,bridge 172
N1,22.65358335,91.63865245,link,,,208,1000353,link 177
N1,22.6527778,91.6391663,bridge,,A,411,1000354,bridge 173
